2025-07-31 07:30:30 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 67.3% | Entry: 1.3299741941825318 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753947030
2025-07-31 07:32:17 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1499691216714254 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753947137
2025-07-31 07:34:36 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1500846836430758 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753947276
2025-07-31 07:40:38 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: CALL | Confidence: 65% | Entry: 1.3299057659434832 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753947638
2025-07-31 07:41:01 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/JPY | Direction: CALL | Confidence: 83.4% | Entry: 148.99344188611605 | Expiration: 1min | Risk: LOW | ID: USD/JPY_1753947661
2025-07-31 07:43:29 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/JPY | Direction: CALL | Confidence: 95% | Entry: 149.01063932659457 | Expiration: 5min | Risk: LOW | ID: USD/JPY_1753947809
2025-07-31 07:49:20 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 65% | Entry: 1.3300413252774168 | Expiration: 1min | Risk: MEDIUM | ID: GBP/USD_1753948160
2025-07-31 07:53:34 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/JPY | Direction: CALL | Confidence: 86.8% | Entry: 170.80511090860554 | Expiration: 18min | Risk: LOW | ID: EUR/JPY_1753948414
2025-07-31 07:57:14 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/JPY | Direction: CALL | Confidence: 94.0% | Entry: 149.01228605131539 | Expiration: 5min | Risk: LOW | ID: USD/JPY_1753948634
2025-07-31 07:57:46 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/GBP | Direction: PUT | Confidence: 65% | Entry: 0.8629813387627638 | Expiration: 1min | Risk: MEDIUM | ID: EUR/GBP_1753948666
2025-07-31 07:59:16 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 65% | Entry: 1.3298859026176462 | Expiration: 1min | Risk: MEDIUM | ID: GBP/USD_1753948756
2025-07-31 08:00:22 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 65% | Entry: 1.329945923883141 | Expiration: 1min | Risk: MEDIUM | ID: GBP/USD_1753948822
2025-07-31 08:21:00 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 65% | Entry: 1.3301286152078307 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753950060
2025-07-31 08:23:25 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: CALL | Confidence: 65% | Entry: 1.329982383436118 | Expiration: 5min | Risk: MEDIUM | ID: GBP/USD_1753950205
2025-07-31 08:26:53 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1501001324875157 | Expiration: 5min | Risk: MEDIUM | ID: EUR/USD_1753950413
2025-07-31 08:27:33 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/JPY | Direction: CALL | Confidence: 90.8% | Entry: 170.79964431993483 | Expiration: 1min | Risk: LOW | ID: EUR/JPY_1753950453
2025-07-31 08:29:29 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 68.6% | Entry: 1.3300641505028192 | Expiration: 1min | Risk: MEDIUM | ID: GBP/USD_1753950569
